start_date,start_time,end_date,end_time,sum,num_true_positives_pitchtracked
2/25/25,08:00:00,2/25/25,09:00:00,0,1
2/25/25,09:00:00,2/25/25,10:00:00,0,4
2/25/25,10:00:00,2/25/25,11:00:00,0,6
2/25/25,11:00:00,2/25/25,12:00:00,0,1
2/25/25,12:00:00,2/25/25,13:00:00,0,8
2/25/25,13:00:00,2/25/25,14:00:00,0,2
2/25/25,14:00:00,2/25/25,15:00:00,0,4
2/25/25,15:00:00,2/25/25,16:00:00,0,10
2/25/25,16:00:00,2/25/25,17:00:00,0,4
2/25/25,17:00:00,2/25/25,18:00:00,0,8
2/25/25,18:00:00,2/25/25,19:00:00,0,16
2/25/25,19:00:00,2/25/25,20:00:00,0,3
2/25/25,20:00:00,2/25/25,21:00:00,0,11
2/25/25,21:00:00,2/25/25,22:00:00,0,11
2/25/25,22:00:00,2/25/25,23:00:00,0,9
2/25/25,23:00:00,2/25/25,24:00:00,315,6
2/26/25,00:00:00,2/26/25,01:00:00,0,7
2/26/25,01:00:00,2/26/25,02:00:00,0,2
2/26/25,02:00:00,2/26/25,03:00:00,0,0
2/26/25,03:00:00,2/26/25,04:00:00,0,0
2/26/25,04:00:00,2/26/25,05:00:00,0,2
2/26/25,05:00:00,2/26/25,06:00:00,0,4
2/26/25,06:00:00,2/26/25,07:00:00,0,4
2/26/25,07:00:00,2/26/25,08:00:00,0,1
2/26/25,08:00:00,2/26/25,09:00:00,0,1
2/26/25,09:00:00,2/26/25,10:00:00,0,0
2/26/25,10:00:00,2/26/25,11:00:00,0,0
2/26/25,11:00:00,2/26/25,12:00:00,0,0
2/26/25,12:00:00,2/26/25,13:00:00,0,4
2/26/25,13:00:00,2/26/25,14:00:00,0,17
2/26/25,14:00:00,2/26/25,15:00:00,0,8
2/26/25,15:00:00,2/26/25,16:00:00,0,7
2/26/25,16:00:00,2/26/25,17:00:00,0,11
2/26/25,17:00:00,2/26/25,18:00:00,0,9
2/26/25,18:00:00,2/26/25,19:00:00,0,8
2/26/25,19:00:00,2/26/25,20:00:00,0,16
2/26/25,20:00:00,2/26/25,21:00:00,0,13
2/26/25,21:00:00,2/26/25,22:00:00,0,10
2/26/25,22:00:00,2/26/25,23:00:00,0,4
2/26/25,23:00:00,2/26/25,24:00:00,366,0
2/27/25,00:00:00,2/27/25,01:00:00,0,0
2/27/25,01:00:00,2/27/25,02:00:00,0,0
2/27/25,02:00:00,2/27/25,03:00:00,0,0
2/27/25,03:00:00,2/27/25,04:00:00,0,3
2/27/25,04:00:00,2/27/25,05:00:00,0,0
2/27/25,05:00:00,2/27/25,06:00:00,0,0
2/27/25,06:00:00,2/27/25,07:00:00,0,1
2/27/25,07:00:00,2/27/25,08:00:00,0,7
2/27/25,08:00:00,2/27/25,09:00:00,0,1
2/27/25,09:00:00,2/27/25,10:00:00,0,2
2/27/25,10:00:00,2/27/25,11:00:00,0,4
2/27/25,11:00:00,2/27/25,12:00:00,0,2
2/27/25,12:00:00,2/27/25,13:00:00,0,5
2/27/25,13:00:00,2/27/25,14:00:00,0,4
2/27/25,14:00:00,2/27/25,15:00:00,0,2
2/27/25,15:00:00,2/27/25,16:00:00,0,6
2/27/25,16:00:00,2/27/25,17:00:00,0,3
2/27/25,17:00:00,2/27/25,18:00:00,0,8
2/27/25,18:00:00,2/27/25,19:00:00,0,14
2/27/25,19:00:00,2/27/25,20:00:00,0,7
2/27/25,20:00:00,2/27/25,21:00:00,0,7
2/27/25,21:00:00,2/27/25,22:00:00,0,14
2/27/25,22:00:00,2/27/25,23:00:00,0,4
2/27/25,23:00:00,2/27/25,24:00:00,356,18
2/28/25,00:00:00,2/28/25,01:00:00,0,14
2/28/25,01:00:00,2/28/25,02:00:00,0,21
2/28/25,02:00:00,2/28/25,03:00:00,0,25
2/28/25,03:00:00,2/28/25,04:00:00,0,6
2/28/25,04:00:00,2/28/25,05:00:00,0,1
2/28/25,05:00:00,2/28/25,06:00:00,0,0
2/28/25,06:00:00,2/28/25,07:00:00,0,1
2/28/25,07:00:00,2/28/25,08:00:00,0,2
2/28/25,08:00:00,2/28/25,09:00:00,0,3
2/28/25,09:00:00,2/28/25,10:00:00,0,1
2/28/25,10:00:00,2/28/25,11:00:00,0,15
2/28/25,11:00:00,2/28/25,12:00:00,0,16
2/28/25,12:00:00,2/28/25,13:00:00,0,14
2/28/25,13:00:00,2/28/25,14:00:00,0,8
2/28/25,14:00:00,2/28/25,15:00:00,0,11
2/28/25,15:00:00,2/28/25,16:00:00,0,6
2/28/25,16:00:00,2/28/25,17:00:00,0,25
2/28/25,17:00:00,2/28/25,18:00:00,0,17
2/28/25,18:00:00,2/28/25,19:00:00,0,18
2/28/25,19:00:00,2/28/25,20:00:00,0,15
2/28/25,20:00:00,2/28/25,21:00:00,0,17
2/28/25,21:00:00,2/28/25,22:00:00,0,9
2/28/25,22:00:00,2/28/25,23:00:00,0,17
2/28/25,23:00:00,2/28/25,24:00:00,686,9
3/1/25,00:00:00,3/1/25,01:00:00,0,8
3/1/25,01:00:00,3/1/25,02:00:00,0,12
3/1/25,02:00:00,3/1/25,03:00:00,0,2
3/1/25,03:00:00,3/1/25,04:00:00,0,0
3/1/25,04:00:00,3/1/25,05:00:00,0,4
3/1/25,05:00:00,3/1/25,06:00:00,0,2
3/1/25,06:00:00,3/1/25,07:00:00,0,6
3/1/25,07:00:00,3/1/25,08:00:00,0,5
3/1/25,08:00:00,3/1/25,09:00:00,0,5
3/1/25,09:00:00,3/1/25,10:00:00,0,5
3/1/25,10:00:00,3/1/25,11:00:00,0,6
3/1/25,11:00:00,3/1/25,12:00:00,0,7
3/1/25,12:00:00,3/1/25,13:00:00,0,5
3/1/25,13:00:00,3/1/25,14:00:00,0,8
3/1/25,14:00:00,3/1/25,15:00:00,0,13
3/1/25,15:00:00,3/1/25,16:00:00,0,4
3/1/25,16:00:00,3/1/25,17:00:00,0,5
3/1/25,17:00:00,3/1/25,18:00:00,0,1
3/1/25,18:00:00,3/1/25,19:00:00,0,2
3/1/25,19:00:00,3/1/25,20:00:00,0,10
3/1/25,20:00:00,3/1/25,21:00:00,0,0
3/1/25,21:00:00,3/1/25,22:00:00,0,2
3/1/25,22:00:00,3/1/25,23:00:00,0,11
3/1/25,23:00:00,3/1/25,24:00:00,407,7
3/2/25,00:00:00,3/2/25,01:00:00,0,6
3/2/25,01:00:00,3/2/25,02:00:00,0,12
3/2/25,02:00:00,3/2/25,03:00:00,0,9
3/2/25,03:00:00,3/2/25,04:00:00,0,13
3/2/25,04:00:00,3/2/25,05:00:00,0,12
3/2/25,05:00:00,3/2/25,06:00:00,0,0
3/2/25,06:00:00,3/2/25,07:00:00,0,0
3/2/25,07:00:00,3/2/25,08:00:00,0,5
3/2/25,08:00:00,3/2/25,09:00:00,0,12
3/2/25,09:00:00,3/2/25,10:00:00,0,10
3/2/25,10:00:00,3/2/25,11:00:00,0,3
3/2/25,11:00:00,3/2/25,12:00:00,0,11
3/2/25,12:00:00,3/2/25,13:00:00,0,10
3/2/25,13:00:00,3/2/25,14:00:00,0,5
3/2/25,14:00:00,3/2/25,15:00:00,0,3
3/2/25,15:00:00,3/2/25,16:00:00,0,12
3/2/25,16:00:00,3/2/25,17:00:00,0,10
3/2/25,17:00:00,3/2/25,18:00:00,0,27
3/2/25,18:00:00,3/2/25,19:00:00,0,16
3/2/25,19:00:00,3/2/25,20:00:00,0,9
3/2/25,20:00:00,3/2/25,21:00:00,0,21
3/2/25,21:00:00,3/2/25,22:00:00,0,8
3/2/25,22:00:00,3/2/25,23:00:00,0,20
3/2/25,23:00:00,3/2/25,24:00:00,548,27
3/3/25,00:00:00,3/3/25,01:00:00,0,21
3/3/25,01:00:00,3/3/25,02:00:00,0,21
3/3/25,02:00:00,3/3/25,03:00:00,0,23
3/3/25,03:00:00,3/3/25,04:00:00,0,27
3/3/25,04:00:00,3/3/25,05:00:00,0,19
3/3/25,05:00:00,3/3/25,06:00:00,0,18
3/3/25,06:00:00,3/3/25,07:00:00,0,27
3/3/25,07:00:00,3/3/25,08:00:00,0,1
3/3/25,08:00:00,3/3/25,09:00:00,0,0
3/3/25,09:00:00,3/3/25,10:00:00,0,1
3/3/25,10:00:00,3/3/25,11:00:00,0,8
3/3/25,11:00:00,3/3/25,12:00:00,0,12
3/3/25,12:00:00,3/3/25,13:00:00,0,5
3/3/25,13:00:00,3/3/25,14:00:00,0,0
3/3/25,14:00:00,3/3/25,15:00:00,0,10
3/3/25,15:00:00,3/3/25,16:00:00,0,22
