start_date,start_time,end_date,end_time,sum,Manual_Review,num_true_positives_pitchtracked
2/22/25,00:00:00,2/22/25,01:00:00,1,2,0
2/22/25,01:00:00,2/22/25,02:00:00,58,1,45
2/22/25,02:00:00,2/22/25,03:00:00,5,1,2
2/22/25,03:00:00,2/22/25,04:00:00,2,1,0
2/22/25,04:00:00,2/22/25,05:00:00,21,1,13
2/22/25,05:00:00,2/22/25,06:00:00,6,0,0
2/22/25,06:00:00,2/22/25,07:00:00,26,1,26
2/22/25,07:00:00,2/22/25,08:00:00,13,1,8
2/22/25,08:00:00,2/22/25,09:00:00,1,2,1
2/22/25,09:00:00,2/22/25,10:00:00,19,1,17
2/22/25,10:00:00,2/22/25,11:00:00,13,1,7
2/22/25,11:00:00,2/22/25,12:00:00,23,1,4
2/22/25,12:00:00,2/22/25,13:00:00,33,1,11
2/22/25,13:00:00,2/22/25,14:00:00,31,1,18
2/22/25,14:00:00,2/22/25,15:00:00,41,1,32
2/22/25,15:00:00,2/22/25,16:00:00,38,1,15
2/22/25,16:00:00,2/22/25,17:00:00,28,1,23
2/22/25,17:00:00,2/22/25,18:00:00,31,1,26
2/22/25,18:00:00,2/22/25,19:00:00,26,1,11
2/22/25,19:00:00,2/22/25,20:00:00,16,1,0
2/22/25,20:00:00,2/22/25,21:00:00,21,1,17
2/22/25,21:00:00,2/22/25,22:00:00,69,1,41
2/22/25,22:00:00,2/22/25,23:00:00,18,1,16
2/22/25,23:00:00,2/22/25,24:00:00,20,1,17
2/23/25,00:00:00,2/23/25,01:00:00,17,1,14
2/23/25,01:00:00,2/23/25,02:00:00,19,1,18
2/23/25,02:00:00,2/23/25,03:00:00,1,1,1
2/23/25,03:00:00,2/23/25,04:00:00,9,1,5
2/23/25,04:00:00,2/23/25,05:00:00,19,1,13
2/23/25,05:00:00,2/23/25,06:00:00,20,1,20
2/23/25,06:00:00,2/23/25,07:00:00,5,0,0
2/23/25,07:00:00,2/23/25,08:00:00,25,1,24
2/23/25,08:00:00,2/23/25,09:00:00,52,1,42
2/23/25,09:00:00,2/23/25,10:00:00,28,1,26
2/23/25,10:00:00,2/23/25,11:00:00,67,1,65
2/23/25,11:00:00,2/23/25,12:00:00,47,1,39
2/23/25,12:00:00,2/23/25,13:00:00,0,0,0
2/23/25,13:00:00,2/23/25,14:00:00,2,1,0
2/23/25,14:00:00,2/23/25,15:00:00,2,1,0
2/23/25,15:00:00,2/23/25,16:00:00,66,1,52
2/23/25,16:00:00,2/23/25,17:00:00,127,1,52
2/23/25,17:00:00,2/23/25,18:00:00,8,0,0
2/23/25,18:00:00,2/23/25,19:00:00,1,1,0
2/23/25,19:00:00,2/23/25,20:00:00,37,1,7
2/23/25,20:00:00,2/23/25,21:00:00,19,1,17
2/23/25,21:00:00,2/23/25,22:00:00,101,1,99
2/23/25,22:00:00,2/23/25,23:00:00,84,1,48
2/23/25,23:00:00,2/23/25,24:00:00,28,1,26
2/24/25,00:00:00,2/24/25,01:00:00,86,1,84
2/24/25,01:00:00,2/24/25,02:00:00,71,1,62
