start_date,start_time,end_date,end_time,sum,num_true_positives_pitchtracked,Manual_Review
3/15/25,16:00:00,3/15/25,17:00:00,1,0,0
3/15/25,17:00:00,3/15/25,18:00:00,0,0,0
3/15/25,18:00:00,3/15/25,19:00:00,1,0,0
3/15/25,19:00:00,3/15/25,20:00:00,5,0,0
3/15/25,20:00:00,3/15/25,21:00:00,0,0,0
3/15/25,21:00:00,3/15/25,22:00:00,1,0,0
3/15/25,22:00:00,3/15/25,23:00:00,4,0,0
3/15/25,23:00:00,3/15/25,24:00:00,14,0,0
3/16/25,00:00:00,3/16/25,01:00:00,2,0,0
3/16/25,01:00:00,3/16/25,02:00:00,4,0,0
3/16/25,02:00:00,3/16/25,03:00:00,4,0,0
3/16/25,03:00:00,3/16/25,04:00:00,2,0,0
3/16/25,04:00:00,3/16/25,05:00:00,0,0,0
3/16/25,05:00:00,3/16/25,06:00:00,6,0,0
3/16/25,06:00:00,3/16/25,07:00:00,2,0,0
3/16/25,07:00:00,3/16/25,08:00:00,1,0,0
3/16/25,08:00:00,3/16/25,09:00:00,2,0,0
3/16/25,09:00:00,3/16/25,10:00:00,5,0,0
3/16/25,10:00:00,3/16/25,11:00:00,1,0,0
3/16/25,11:00:00,3/16/25,12:00:00,3,0,0
3/16/25,12:00:00,3/16/25,13:00:00,6,0,0
3/16/25,13:00:00,3/16/25,14:00:00,2,0,0
3/16/25,14:00:00,3/16/25,15:00:00,6,0,0
3/16/25,15:00:00,3/16/25,16:00:00,5,0,0
3/16/25,16:00:00,3/16/25,17:00:00,6,0,0
3/16/25,17:00:00,3/16/25,18:00:00,2,0,0
3/16/25,18:00:00,3/16/25,19:00:00,10,0,0
3/16/25,19:00:00,3/16/25,20:00:00,0,0,0
3/16/25,20:00:00,3/16/25,21:00:00,0,0,0
3/16/25,21:00:00,3/16/25,22:00:00,8,0,0
3/16/25,22:00:00,3/16/25,23:00:00,1,0,0
3/16/25,23:00:00,3/16/25,24:00:00,3,0,0
3/17/25,00:00:00,3/17/25,01:00:00,3,0,0
3/17/25,01:00:00,3/17/25,02:00:00,0,0,0
3/17/25,02:00:00,3/17/25,03:00:00,5,0,0
3/17/25,03:00:00,3/17/25,04:00:00,1,0,0
3/17/25,04:00:00,3/17/25,05:00:00,5,0,0
3/17/25,05:00:00,3/17/25,06:00:00,4,0,0
3/17/25,06:00:00,3/17/25,07:00:00,5,0,0
3/17/25,07:00:00,3/17/25,08:00:00,4,0,0
3/17/25,08:00:00,3/17/25,09:00:00,0,0,0
3/17/25,09:00:00,3/17/25,10:00:00,2,0,0
3/17/25,10:00:00,3/17/25,11:00:00,3,0,0
3/17/25,11:00:00,3/17/25,12:00:00,6,0,0
3/17/25,12:00:00,3/17/25,13:00:00,0,0,0
3/17/25,13:00:00,3/17/25,14:00:00,7,0,0
3/17/25,14:00:00,3/17/25,15:00:00,45,43,1
3/17/25,15:00:00,3/17/25,16:00:00,13,11,1
3/17/25,16:00:00,3/17/25,17:00:00,6,0,0
3/17/25,17:00:00,3/17/25,18:00:00,58,49,1
3/17/25,18:00:00,3/17/25,19:00:00,42,32,1
3/17/25,19:00:00,3/17/25,20:00:00,30,22,1
3/17/25,20:00:00,3/17/25,21:00:00,0,0,0
3/17/25,21:00:00,3/17/25,22:00:00,0,0,0
3/17/25,22:00:00,3/17/25,23:00:00,1,0,0
3/17/25,23:00:00,3/17/25,24:00:00,5,0,1
3/18/25,00:00:00,3/18/25,01:00:00,24,21,1
3/18/25,01:00:00,3/18/25,02:00:00,46,40,1
3/18/25,02:00:00,3/18/25,03:00:00,7,0,0
3/18/25,03:00:00,3/18/25,04:00:00,10,8,1
3/18/25,04:00:00,3/18/25,05:00:00,26,24,1
3/18/25,05:00:00,3/18/25,06:00:00,20,16,1
3/18/25,06:00:00,3/18/25,07:00:00,6,4,1
3/18/25,07:00:00,3/18/25,08:00:00,11,4,1
3/18/25,08:00:00,3/18/25,09:00:00,39,37,1
3/18/25,09:00:00,3/18/25,10:00:00,7,1,1
3/18/25,10:00:00,3/18/25,11:00:00,25,25,1
3/18/25,11:00:00,3/18/25,12:00:00,44,44,1
3/18/25,12:00:00,3/18/25,13:00:00,60,60,1
3/18/25,13:00:00,3/18/25,14:00:00,9,4,1
3/18/25,14:00:00,3/18/25,15:00:00,9,5,1
3/18/25,15:00:00,3/18/25,16:00:00,28,26,1
3/18/25,16:00:00,3/18/25,17:00:00,2,0,0
3/18/25,17:00:00,3/18/25,18:00:00,4,1,1
3/18/25,18:00:00,3/18/25,19:00:00,14,12,1
3/18/25,19:00:00,3/18/25,20:00:00,10,6,1
3/18/25,20:00:00,3/18/25,21:00:00,53,53,1
3/18/25,21:00:00,3/18/25,22:00:00,92,86,1
3/18/25,22:00:00,3/18/25,23:00:00,4,2,2
3/18/25,23:00:00,3/18/25,24:00:00,12,0,0
3/19/25,00:00:00,3/19/25,01:00:00,0,0,0
3/19/25,01:00:00,3/19/25,02:00:00,1,0,0
3/19/25,02:00:00,3/19/25,03:00:00,0,0,0
3/19/25,03:00:00,3/19/25,04:00:00,1,1,2
3/19/25,04:00:00,3/19/25,05:00:00,14,12,1
3/19/25,05:00:00,3/19/25,06:00:00,12,10,1
3/19/25,06:00:00,3/19/25,07:00:00,22,14,1
3/19/25,07:00:00,3/19/25,08:00:00,2,0,0
3/19/25,08:00:00,3/19/25,09:00:00,1,0,0
3/19/25,09:00:00,3/19/25,10:00:00,1,1,1
3/19/25,10:00:00,3/19/25,11:00:00,4,3,1
3/19/25,11:00:00,3/19/25,12:00:00,1,1,1
3/19/25,12:00:00,3/19/25,13:00:00,2,0,2
3/19/25,13:00:00,3/19/25,14:00:00,47,42,1
3/19/25,14:00:00,3/19/25,15:00:00,5,4,1
3/19/25,15:00:00,3/19/25,16:00:00,1,0,0
3/19/25,16:00:00,3/19/25,17:00:00,14,13,1
3/19/25,17:00:00,3/19/25,18:00:00,37,32,1
3/19/25,18:00:00,3/19/25,19:00:00,3,0,0
3/19/25,19:00:00,3/19/25,20:00:00,0,0,0
3/19/25,20:00:00,3/19/25,21:00:00,3,0,0
3/19/25,21:00:00,3/19/25,22:00:00,11,0,0
3/19/25,22:00:00,3/19/25,23:00:00,0,0,0
3/19/25,23:00:00,3/19/25,24:00:00,0,0,0
3/20/25,00:00:00,3/20/25,01:00:00,0,0,0
3/20/25,01:00:00,3/20/25,02:00:00,7,0,0
3/20/25,02:00:00,3/20/25,03:00:00,1,0,0
3/20/25,03:00:00,3/20/25,04:00:00,52,51,1
3/20/25,04:00:00,3/20/25,05:00:00,9,3,1
3/20/25,05:00:00,3/20/25,06:00:00,0,0,0
3/20/25,06:00:00,3/20/25,07:00:00,1,0,0
3/20/25,07:00:00,3/20/25,08:00:00,0,0,0
3/20/25,08:00:00,3/20/25,09:00:00,5,0,0
3/20/25,09:00:00,3/20/25,10:00:00,0,0,0
3/20/25,10:00:00,3/20/25,11:00:00,0,0,0
3/20/25,11:00:00,3/20/25,12:00:00,3,0,0
3/20/25,12:00:00,3/20/25,13:00:00,6,0,0
3/20/25,13:00:00,3/20/25,14:00:00,72,59,1
3/20/25,14:00:00,3/20/25,15:00:00,38,30,1
3/20/25,15:00:00,3/20/25,16:00:00,19,15,1
3/20/25,16:00:00,3/20/25,17:00:00,0,0,0
3/20/25,17:00:00,3/20/25,18:00:00,3,0,0
3/20/25,18:00:00,3/20/25,19:00:00,0,0,0
3/20/25,19:00:00,3/20/25,20:00:00,1,0,0
3/20/25,20:00:00,3/20/25,21:00:00,0,0,0
3/20/25,21:00:00,3/20/25,22:00:00,1,0,0
3/20/25,22:00:00,3/20/25,23:00:00,9,0,0
3/20/25,23:00:00,3/20/25,24:00:00,0,0,0
3/21/25,00:00:00,3/21/25,01:00:00,0,0,0
3/21/25,01:00:00,3/21/25,02:00:00,0,0,0
3/21/25,02:00:00,3/21/25,03:00:00,7,0,0
3/21/25,03:00:00,3/21/25,04:00:00,5,0,0
3/21/25,04:00:00,3/21/25,05:00:00,1,0,0
3/21/25,05:00:00,3/21/25,06:00:00,2,0,0
3/21/25,06:00:00,3/21/25,07:00:00,0,0,0
3/21/25,07:00:00,3/21/25,08:00:00,0,0,0
3/21/25,08:00:00,3/21/25,09:00:00,0,0,0
3/21/25,09:00:00,3/21/25,10:00:00,9,0,0
3/21/25,10:00:00,3/21/25,11:00:00,3,0,0
3/21/25,11:00:00,3/21/25,12:00:00,2,0,0
3/21/25,12:00:00,3/21/25,13:00:00,4,0,0
3/21/25,13:00:00,3/21/25,14:00:00,2,0,0
3/21/25,14:00:00,3/21/25,15:00:00,1,0,0
3/21/25,15:00:00,3/21/25,16:00:00,0,0,0
3/21/25,16:00:00,3/21/25,17:00:00,9,0,0
3/21/25,17:00:00,3/21/25,18:00:00,4,0,0
3/21/25,18:00:00,3/21/25,19:00:00,4,0,0
3/21/25,19:00:00,3/21/25,20:00:00,3,0,0
3/21/25,20:00:00,3/21/25,21:00:00,12,1,2
3/21/25,21:00:00,3/21/25,22:00:00,19,14,1
3/21/25,22:00:00,3/21/25,23:00:00,31,29,1
3/21/25,23:00:00,3/21/25,24:00:00,20,13,1
3/22/25,00:00:00,3/22/25,01:00:00,0,0,0
3/22/25,01:00:00,3/22/25,02:00:00,4,1,2
3/22/25,02:00:00,3/22/25,03:00:00,3,0,0
3/22/25,03:00:00,3/22/25,04:00:00,5,0,0
3/22/25,04:00:00,3/22/25,05:00:00,0,0,0
3/22/25,05:00:00,3/22/25,06:00:00,0,0,0
3/22/25,06:00:00,3/22/25,07:00:00,9,0,0
3/22/25,07:00:00,3/22/25,08:00:00,5,4,1
3/22/25,08:00:00,3/22/25,09:00:00,15,11,1
3/22/25,09:00:00,3/22/25,10:00:00,49,48,1
3/22/25,10:00:00,3/22/25,11:00:00,1,0,0
3/22/25,11:00:00,3/22/25,12:00:00,49,28,1
3/22/25,12:00:00,3/22/25,13:00:00,80,12,1
3/22/25,13:00:00,3/22/25,14:00:00,29,13,1
3/22/25,14:00:00,3/22/25,15:00:00,19,19,1
3/22/25,15:00:00,3/22/25,16:00:00,14,6,1
3/22/25,16:00:00,3/22/25,17:00:00,27,17,1
3/22/25,17:00:00,3/22/25,18:00:00,13,5,1
3/22/25,18:00:00,3/22/25,19:00:00,9,3,1
3/22/25,19:00:00,3/22/25,20:00:00,31,29,1
3/22/25,20:00:00,3/22/25,21:00:00,10,0,0
3/22/25,21:00:00,3/22/25,22:00:00,0,0,0
3/22/25,22:00:00,3/22/25,23:00:00,8,7,1
3/22/25,23:00:00,3/22/25,24:00:00,11,1,2
3/23/25,00:00:00,3/23/25,01:00:00,6,0,0
3/23/25,01:00:00,3/23/25,02:00:00,0,0,0
3/23/25,02:00:00,3/23/25,03:00:00,1,0,0
3/23/25,03:00:00,3/23/25,04:00:00,6,0,0
3/23/25,04:00:00,3/23/25,05:00:00,3,0,0
3/23/25,05:00:00,3/23/25,06:00:00,2,0,0
3/23/25,06:00:00,3/23/25,07:00:00,4,4,1
3/23/25,07:00:00,3/23/25,08:00:00,12,2,1
3/23/25,08:00:00,3/23/25,09:00:00,14,12,1
3/23/25,09:00:00,3/23/25,10:00:00,4,2,1
3/23/25,10:00:00,3/23/25,11:00:00,4,3,1
3/23/25,11:00:00,3/23/25,12:00:00,12,0,2
3/23/25,12:00:00,3/23/25,13:00:00,12,4,1
3/23/25,13:00:00,3/23/25,14:00:00,18,19,1
3/23/25,14:00:00,3/23/25,15:00:00,9,0,0
